NLOC,CCN,Token,Param,Length,location
3,1,25,0,13,refresh_db@36-48@C:\User\varshini\Downloads\FinalProject\salt\salt\modules\pkgutil.py
12,4,55,1,21,upgrade_available@51-71@C:\User\varshini\Downloads\FinalProject\salt\salt\modules\pkgutil.py
13,5,88,2,22,list_upgrades@74-95@C:\User\varshini\Downloads\FinalProject\salt\salt\modules\pkgutil.py
9,2,64,1,27,upgrade@98-124@C:\User\varshini\Downloads\FinalProject\salt\salt\modules\pkgutil.py
7,2,36,1,10,_list_pkgs_from_context@127-136@C:\User\varshini\Downloads\FinalProject\salt\salt\modules\pkgutil.py
20,8,176,2,40,list_pkgs@139-178@C:\User\varshini\Downloads\FinalProject\salt\salt\modules\pkgutil.py
2,1,22,2,11,version@181-191@C:\User\varshini\Downloads\FinalProject\salt\salt\modules\pkgutil.py
25,10,194,2,49,latest_version@194-242@C:\User\varshini\Downloads\FinalProject\salt\salt\modules\pkgutil.py
23,9,172,5,58,install@251-308@C:\User\varshini\Downloads\FinalProject\salt\salt\modules\pkgutil.py
14,5,112,3,42,remove@311-352@C:\User\varshini\Downloads\FinalProject\salt\salt\modules\pkgutil.py
2,1,26,3,29,purge@355-383@C:\User\varshini\Downloads\FinalProject\salt\salt\modules\pkgutil.py
2,1,7,1,2,_repack_pkgs._normalize_name@29-30@C:\User\varshini\Downloads\FinalProject\salt\salt\modules\pkg_resource.py
16,6,92,2,26,_repack_pkgs@20-45@C:\User\varshini\Downloads\FinalProject\salt\salt\modules\pkg_resource.py
2,1,7,1,2,pack_sources._normalize_name@76-77@C:\User\varshini\Downloads\FinalProject\salt\salt\modules\pkg_resource.py
21,8,145,2,47,pack_sources@48-94@C:\User\varshini\Downloads\FinalProject\salt\salt\modules\pkg_resource.py
61,23,341,6,87,parse_targets@97-183@C:\User\varshini\Downloads\FinalProject\salt\salt\modules\pkg_resource.py
21,9,151,2,34,version@186-219@C:\User\varshini\Downloads\FinalProject\salt\salt\modules\pkg_resource.py
5,2,37,3,14,add_pkg@222-235@C:\User\varshini\Downloads\FinalProject\salt\salt\modules\pkg_resource.py
6,3,39,1,21,sort_pkglist@238-258@C:\User\varshini\Downloads\FinalProject\salt\salt\modules\pkg_resource.py
6,3,38,1,16,stringify@261-276@C:\User\varshini\Downloads\FinalProject\salt\salt\modules\pkg_resource.py
4,3,23,1,14,version_clean@279-292@C:\User\varshini\Downloads\FinalProject\salt\salt\modules\pkg_resource.py
8,1,43,4,48,version_compare@295-342@C:\User\varshini\Downloads\FinalProject\salt\salt\modules\pkg_resource.py
4,3,27,2,16,check_extra_requirements@345-360@C:\User\varshini\Downloads\FinalProject\salt\salt\modules\pkg_resource.py
40,14,229,3,47,format_pkg_list@363-409@C:\User\varshini\Downloads\FinalProject\salt\salt\modules\pkg_resource.py
5,3,27,3,8,format_version@412-419@C:\User\varshini\Downloads\FinalProject\salt\salt\modules\pkg_resource.py
9,5,50,0,13,__virtual__@124-136@C:\User\varshini\Downloads\FinalProject\salt\salt\modules\postgres.py
8,3,58,1,13,_find_pg_binary@139-151@C:\User\varshini\Downloads\FinalProject\salt\salt\modules\postgres.py
45,18,300,6,55,_run_psql@154-208@C:\User\varshini\Downloads\FinalProject\salt\salt\modules\postgres.py
57,13,316,9,71,_run_initdb@211-281@C:\User\varshini\Downloads\FinalProject\salt\salt\modules\postgres.py
19,2,109,6,30,version@284-313@C:\User\varshini\Downloads\FinalProject\salt\salt\modules\postgres.py
19,2,74,6,26,_parsed_version@316-341@C:\User\varshini\Downloads\FinalProject\salt\salt\modules\postgres.py
10,5,82,4,15,_connection_defaults@344-358@C:\User\varshini\Downloads\FinalProject\salt\salt\modules\postgres.py
26,5,129,2,33,_psql_cmd@361-393@C:\User\varshini\Downloads\FinalProject\salt\salt\modules\postgres.py
10,1,80,7,10,_psql_prepare_and_run@396-405@C:\User\varshini\Downloads\FinalProject\salt\salt\modules\postgres.py
43,7,209,8,92,psql_query@408-499@C:\User\varshini\Downloads\FinalProject\salt\salt\modules\postgres.py
25,2,101,6,39,db_list@505-543@C:\User\varshini\Downloads\FinalProject\salt\salt\modules\postgres.py
18,1,64,7,28,db_exists@546-573@C:\User\varshini\Downloads\FinalProject\salt\salt\modules\postgres.py
6,3,40,2,6,_quote_ddl_value@577-582@C:\User\varshini\Downloads\FinalProject\salt\salt\modules\postgres.py
43,4,218,13,64,db_create@585-648@C:\User\varshini\Downloads\FinalProject\salt\salt\modules\postgres.py
37,8,167,10,49,db_alter@651-699@C:\User\varshini\Downloads\FinalProject\salt\salt\modules\postgres.py
27,3,104,7,36,db_remove@702-737@C:\User\varshini\Downloads\FinalProject\salt\salt\modules\postgres.py
22,2,101,6,38,tablespace_list@743-780@C:\User\varshini\Downloads\FinalProject\salt\salt\modules\postgres.py
18,1,64,7,30,tablespace_exists@783-812@C:\User\varshini\Downloads\FinalProject\salt\salt\modules\postgres.py
32,4,142,10,47,tablespace_create@815-861@C:\User\varshini\Downloads\FinalProject\salt\salt\modules\postgres.py
41,8,179,11,59,tablespace_alter@864-922@C:\User\varshini\Downloads\FinalProject\salt\salt\modules\postgres.py
20,1,77,7,31,tablespace_remove@925-955@C:\User\varshini\Downloads\FinalProject\salt\salt\modules\postgres.py
2,2,11,1,2,user_list._x@1006-1007@C:\User\varshini\Downloads\FinalProject\salt\salt\modules\postgres.py
7,3,32,2,10,user_list.get_bool@1038-1047@C:\User\varshini\Downloads\FinalProject\salt\salt\modules\postgres.py
85,9,328,7,116,user_list@961-1076@C:\User\varshini\Downloads\FinalProject\salt\salt\modules\postgres.py
24,2,90,8,35,role_get@1079-1113@C:\User\varshini\Downloads\FinalProject\salt\salt\modules\postgres.py
21,1,68,7,30,user_exists@1116-1145@C:\User\varshini\Downloads\FinalProject\salt\salt\modules\postgres.py
12,6,65,7,12,_add_role_flag@1148-1159@C:\User\varshini\Downloads\FinalProject\salt\salt\modules\postgres.py
17,9,116,3,20,_maybe_encrypt_password@1162-1181@C:\User\varshini\Downloads\FinalProject\salt\salt\modules\postgres.py
24,8,138,4,31,_verify_password@1184-1214@C:\User\varshini\Downloads\FinalProject\salt\salt\modules\postgres.py
6,1,33,2,6,_md5_password@1217-1222@C:\User\varshini\Downloads\FinalProject\salt\salt\modules\postgres.py
14,2,144,3,19,_scram_sha_256@1225-1243@C:\User\varshini\Downloads\FinalProject\salt\salt\modules\postgres.py
92,24,494,15,95,_role_cmd_args@1246-1340@C:\User\varshini\Downloads\FinalProject\salt\salt\modules\postgres.py
55,2,226,19,63,_role_create@1343-1405@C:\User\varshini\Downloads\FinalProject\salt\salt\modules\postgres.py
41,1,153,18,52,user_create@1408-1459@C:\User\varshini\Downloads\FinalProject\salt\salt\modules\postgres.py
63,2,246,19,70,_role_update@1462-1531@C:\User\varshini\Downloads\FinalProject\salt\salt\modules\postgres.py
41,1,153,18,52,user_update@1534-1585@C:\User\varshini\Downloads\FinalProject\salt\salt\modules\postgres.py
31,3,138,7,39,_role_remove@1588-1626@C:\User\varshini\Downloads\FinalProject\salt\salt\modules\postgres.py
19,4,95,6,29,available_extensions@1629-1657@C:\User\varshini\Downloads\FinalProject\salt\salt\modules\postgres.py
22,4,98,6,32,installed_extensions@1660-1691@C:\User\varshini\Downloads\FinalProject\salt\salt\modules\postgres.py
17,1,66,7,27,get_available_extension@1694-1720@C:\User\varshini\Downloads\FinalProject\salt\salt\modules\postgres.py
17,1,66,7,27,get_installed_extension@1723-1749@C:\User\varshini\Downloads\FinalProject\salt\salt\modules\postgres.py
20,3,83,7,30,is_available_extension@1752-1781@C:\User\varshini\Downloads\FinalProject\salt\salt\modules\postgres.py
2,1,18,2,7,_pg_is_older_ext_ver@1784-1790@C:\User\varshini\Downloads\FinalProject\salt\salt\modules\postgres.py
19,1,67,7,29,is_installed_extension@1793-1821@C:\User\varshini\Downloads\FinalProject\salt\salt\modules\postgres.py
34,7,147,9,44,create_metadata@1824-1867@C:\User\varshini\Downloads\FinalProject\salt\salt\modules\postgres.py
58,9,229,10,68,drop_extension@1870-1937@C:\User\varshini\Downloads\FinalProject\salt\salt\modules\postgres.py
89,18,385,11,99,create_extension@1940-2038@C:\User\varshini\Downloads\FinalProject\salt\salt\modules\postgres.py
18,1,61,7,27,user_remove@2041-2067@C:\User\varshini\Downloads\FinalProject\salt\salt\modules\postgres.py
37,1,137,16,49,group_create@2073-2121@C:\User\varshini\Downloads\FinalProject\salt\salt\modules\postgres.py
37,1,137,16,48,group_update@2124-2171@C:\User\varshini\Downloads\FinalProject\salt\salt\modules\postgres.py
18,1,61,7,27,group_remove@2174-2200@C:\User\varshini\Downloads\FinalProject\salt\salt\modules\postgres.py
62,3,221,7,83,owner_to@2203-2285@C:\User\varshini\Downloads\FinalProject\salt\salt\modules\postgres.py
34,3,130,8,51,schema_create@2291-2341@C:\User\varshini\Downloads\FinalProject\salt\salt\modules\postgres.py
37,3,149,7,73,schema_remove@2344-2416@C:\User\varshini\Downloads\FinalProject\salt\salt\modules\postgres.py
14,1,59,7,45,schema_exists@2419-2463@C:\User\varshini\Downloads\FinalProject\salt\salt\modules\postgres.py
16,2,77,7,46,schema_get@2466-2511@C:\User\varshini\Downloads\FinalProject\salt\salt\modules\postgres.py
29,3,114,6,61,schema_list@2514-2574@C:\User\varshini\Downloads\FinalProject\salt\salt\modules\postgres.py
17,2,83,6,50,language_list@2577-2626@C:\User\varshini\Downloads\FinalProject\salt\salt\modules\postgres.py
7,1,58,7,42,language_exists@2629-2670@C:\User\varshini\Downloads\FinalProject\salt\salt\modules\postgres.py
17,2,94,7,53,language_create@2673-2725@C:\User\varshini\Downloads\FinalProject\salt\salt\modules\postgres.py
17,2,95,7,53,language_remove@2728-2780@C:\User\varshini\Downloads\FinalProject\salt\salt\modules\postgres.py
106,9,282,3,110,_make_privileges_list_query@2783-2892@C:\User\varshini\Downloads\FinalProject\salt\salt\modules\postgres.py
116,9,324,9,121,_get_object_owner@2895-3015@C:\User\varshini\Downloads\FinalProject\salt\salt\modules\postgres.py
17,6,85,3,22,_validate_privileges@3018-3039@C:\User\varshini\Downloads\FinalProject\salt\salt\modules\postgres.py
5,2,45,2,9,_mod_priv_opts@3042-3050@C:\User\varshini\Downloads\FinalProject\salt\salt\modules\postgres.py
14,4,70,1,17,_process_priv_part@3053-3069@C:\User\varshini\Downloads\FinalProject\salt\salt\modules\postgres.py
44,7,207,9,98,privileges_list@3072-3169@C:\User\varshini\Downloads\FinalProject\salt\salt\modules\postgres.py
61,11,273,12,138,has_privileges@3172-3309@C:\User\varshini\Downloads\FinalProject\salt\salt\modules\postgres.py
75,11,334,12,155,privileges_grant@3312-3466@C:\User\varshini\Downloads\FinalProject\salt\salt\modules\postgres.py
56,4,217,11,128,privileges_revoke@3469-3596@C:\User\varshini\Downloads\FinalProject\salt\salt\modules\postgres.py
26,2,101,9,73,datadir_init@3599-3671@C:\User\varshini\Downloads\FinalProject\salt\salt\modules\postgres.py
4,2,48,1,19,datadir_exists@3674-3692@C:\User\varshini\Downloads\FinalProject\salt\salt\modules\postgres.py
4,3,32,0,7,__virtual__@18-24@C:\User\varshini\Downloads\FinalProject\salt\salt\modules\proxy.py
9,3,79,2,11,_get_proxy_osx@27-37@C:\User\varshini\Downloads\FinalProject\salt\salt\modules\proxy.py
8,3,60,6,11,_set_proxy_osx@40-50@C:\User\varshini\Downloads\FinalProject\salt\salt\modules\proxy.py
38,11,198,1,48,_get_proxy_windows@53-100@C:\User\varshini\Downloads\FinalProject\salt\salt\modules\proxy.py
33,5,152,5,40,_set_proxy_windows@103-142@C:\User\varshini\Downloads\FinalProject\salt\salt\modules\proxy.py
4,2,36,1,18,get_http_proxy@145-162@C:\User\varshini\Downloads\FinalProject\salt\salt\modules\proxy.py
20,2,82,6,52,set_http_proxy@165-216@C:\User\varshini\Downloads\FinalProject\salt\salt\modules\proxy.py
6,2,36,1,20,get_https_proxy@219-238@C:\User\varshini\Downloads\FinalProject\salt\salt\modules\proxy.py
20,2,82,6,52,set_https_proxy@241-292@C:\User\varshini\Downloads\FinalProject\salt\salt\modules\proxy.py
4,2,36,1,18,get_ftp_proxy@295-312@C:\User\varshini\Downloads\FinalProject\salt\salt\modules\proxy.py
20,2,82,6,50,set_ftp_proxy@315-364@C:\User\varshini\Downloads\FinalProject\salt\salt\modules\proxy.py
12,3,79,1,31,get_proxy_bypass@367-397@C:\User\varshini\Downloads\FinalProject\salt\salt\modules\proxy.py
8,1,43,2,26,set_proxy_bypass@400-425@C:\User\varshini\Downloads\FinalProject\salt\salt\modules\proxy.py
5,2,43,4,31,set_proxy_win@428-458@C:\User\varshini\Downloads\FinalProject\salt\salt\modules\proxy.py
3,2,17,0,12,get_proxy_win@461-472@C:\User\varshini\Downloads\FinalProject\salt\salt\modules\proxy.py
7,2,17,0,7,__virtual__@24-30@C:\User\varshini\Downloads\FinalProject\salt\salt\modules\ps.py
5,2,37,1,10,_get_proc_cmdline@33-42@C:\User\varshini\Downloads\FinalProject\salt\salt\modules\ps.py
5,2,36,1,10,_get_proc_create_time@45-54@C:\User\varshini\Downloads\FinalProject\salt\salt\modules\ps.py
5,2,37,1,10,_get_proc_name@57-66@C:\User\varshini\Downloads\FinalProject\salt\salt\modules\ps.py
5,2,36,1,10,_get_proc_status@69-78@C:\User\varshini\Downloads\FinalProject\salt\salt\modules\ps.py
5,2,38,1,10,_get_proc_username@81-90@C:\User\varshini\Downloads\FinalProject\salt\salt\modules\ps.py
2,1,10,1,7,_get_proc_pid@93-99@C:\User\varshini\Downloads\FinalProject\salt\salt\modules\ps.py
45,12,304,2,66,top@102-167@C:\User\varshini\Downloads\FinalProject\salt\salt\modules\ps.py
2,1,11,0,11,get_pid_list@170-180@C:\User\varshini\Downloads\FinalProject\salt\salt\modules\ps.py
6,2,47,2,24,proc_info@183-206@C:\User\varshini\Downloads\FinalProject\salt\salt\modules\ps.py
6,2,32,2,28,kill_pid@209-236@C:\User\varshini\Downloads\FinalProject\salt\salt\modules\ps.py
19,8,111,4,56,pkill@239-294@C:\User\varshini\Downloads\FinalProject\salt\salt\modules\ps.py
17,9,119,4,64,pgrep@297-360@C:\User\varshini\Downloads\FinalProject\salt\salt\modules\ps.py
6,2,42,2,21,cpu_percent@363-383@C:\User\varshini\Downloads\FinalProject\salt\salt\modules\ps.py
6,3,51,1,20,cpu_times@386-405@C:\User\varshini\Downloads\FinalProject\salt\salt\modules\ps.py
2,1,18,0,17,virtual_memory@408-424@C:\User\varshini\Downloads\FinalProject\salt\salt\modules\ps.py
2,1,18,0,17,swap_memory@427-443@C:\User\varshini\Downloads\FinalProject\salt\salt\modules\ps.py
3,2,31,1,17,disk_partitions@446-462@C:\User\varshini\Downloads\FinalProject\salt\salt\modules\ps.py
2,1,20,1,12,disk_usage@465-476@C:\User\varshini\Downloads\FinalProject\salt\salt\modules\ps.py
5,2,33,1,15,disk_partition_usage@479-493@C:\User\varshini\Downloads\FinalProject\salt\salt\modules\ps.py
5,2,22,0,16,total_physical_memory@496-511@C:\User\varshini\Downloads\FinalProject\salt\salt\modules\ps.py
5,2,20,0,16,num_cpus@514-529@C:\User\varshini\Downloads\FinalProject\salt\salt\modules\ps.py
12,4,68,1,33,boot_time@532-564@C:\User\varshini\Downloads\FinalProject\salt\salt\modules\ps.py
9,3,58,1,20,network_io_counters@567-586@C:\User\varshini\Downloads\FinalProject\salt\salt\modules\ps.py
9,3,58,1,20,disk_io_counters@589-608@C:\User\varshini\Downloads\FinalProject\salt\salt\modules\ps.py
3,2,27,0,12,get_users@611-622@C:\User\varshini\Downloads\FinalProject\salt\salt\modules\ps.py
6,1,39,1,15,lsof@625-639@C:\User\varshini\Downloads\FinalProject\salt\salt\modules\ps.py
10,3,67,1,19,netstat@643-661@C:\User\varshini\Downloads\FinalProject\salt\salt\modules\ps.py
10,3,67,1,22,ss@665-686@C:\User\varshini\Downloads\FinalProject\salt\salt\modules\ps.py
18,4,115,1,30,psaux@689-718@C:\User\varshini\Downloads\FinalProject\salt\salt\modules\ps.py
15,5,82,1,51,status@721-771@C:\User\varshini\Downloads\FinalProject\salt\salt\modules\ps.py
6,2,25,0,6,__virtual__@20-25@C:\User\varshini\Downloads\FinalProject\salt\salt\modules\publish.py
8,3,43,1,12,_parse_args@28-39@C:\User\varshini\Downloads\FinalProject\salt\salt\modules\publish.py
125,21,531,9,159,_publish@42-200@C:\User\varshini\Downloads\FinalProject\salt\salt\modules\publish.py
14,1,64,7,80,publish@203-282@C:\User\varshini\Downloads\FinalProject\salt\salt\modules\publish.py
11,1,56,6,32,full_data@285-316@C:\User\varshini\Downloads\FinalProject\salt\salt\modules\publish.py
21,3,134,3,33,runner@319-351@C:\User\varshini\Downloads\FinalProject\salt\salt\modules\publish.py
13,4,53,0,16,__virtual__@20-35@C:\User\varshini\Downloads\FinalProject\salt\salt\modules\puppet.py
8,2,41,1,8,_format_fact@38-45@C:\User\varshini\Downloads\FinalProject\salt\salt\modules\puppet.py
16,1,113,1,24,__init__@53-76@C:\User\varshini\Downloads\FinalProject\salt\salt\modules\puppet.py
12,4,90,1,18,__repr__@78-95@C:\User\varshini\Downloads\FinalProject\salt\salt\modules\puppet.py
8,5,63,2,21,arguments@97-117@C:\User\varshini\Downloads\FinalProject\salt\salt\modules\puppet.py
12,3,88,2,38,run@120-157@C:\User\varshini\Downloads\FinalProject\salt\salt\modules\puppet.py
3,1,25,2,16,noop@160-175@C:\User\varshini\Downloads\FinalProject\salt\salt\modules\puppet.py
12,3,58,0,24,enable@178-201@C:\User\varshini\Downloads\FinalProject\salt\salt\modules\puppet.py
19,4,104,1,39,disable@204-242@C:\User\varshini\Downloads\FinalProject\salt\salt\modules\puppet.py
23,6,170,0,38,status@245-282@C:\User\varshini\Downloads\FinalProject\salt\salt\modules\puppet.py
24,8,177,0,42,summary@285-326@C:\User\varshini\Downloads\FinalProject\salt\salt\modules\puppet.py
5,2,22,0,15,plugin_sync@329-343@C:\User\varshini\Downloads\FinalProject\salt\salt\modules\puppet.py
15,6,86,1,30,facts@346-375@C:\User\varshini\Downloads\FinalProject\salt\salt\modules\puppet.py
8,4,61,2,19,fact@378-396@C:\User\varshini\Downloads\FinalProject\salt\salt\modules\puppet.py
7,2,26,0,10,__virtual__@27-36@C:\User\varshini\Downloads\FinalProject\salt\salt\modules\pw_group.py
14,5,104,3,33,add@39-71@C:\User\varshini\Downloads\FinalProject\salt\salt\modules\pw_group.py
3,1,26,1,13,delete@74-86@C:\User\varshini\Downloads\FinalProject\salt\salt\modules\pw_group.py
12,2,51,1,21,info@89-109@C:\User\varshini\Downloads\FinalProject\salt\salt\modules\pw_group.py
8,4,53,1,18,getent@112-129@C:\User\varshini\Downloads\FinalProject\salt\salt\modules\pw_group.py
10,3,59,2,19,chgid@132-150@C:\User\varshini\Downloads\FinalProject\salt\salt\modules\pw_group.py
5,1,25,2,19,adduser@153-171@C:\User\varshini\Downloads\FinalProject\salt\salt\modules\pw_group.py
8,2,45,2,24,deluser@174-197@C:\User\varshini\Downloads\FinalProject\salt\salt\modules\pw_group.py
5,1,25,2,21,members@200-220@C:\User\varshini\Downloads\FinalProject\salt\salt\modules\pw_group.py
8,3,29,0,11,__virtual__@58-68@C:\User\varshini\Downloads\FinalProject\salt\salt\modules\pw_user.py
16,4,124,1,20,_get_gecos@71-90@C:\User\varshini\Downloads\FinalProject\salt\salt\modules\pw_user.py
7,1,48,1,11,_build_gecos@93-103@C:\User\varshini\Downloads\FinalProject\salt\salt\modules\pw_user.py
14,4,106,3,17,_update_gecos@106-122@C:\User\varshini\Downloads\FinalProject\salt\salt\modules\pw_user.py
51,12,301,14,61,add@125-185@C:\User\varshini\Downloads\FinalProject\salt\salt\modules\pw_user.py
10,3,72,3,19,delete@188-206@C:\User\varshini\Downloads\FinalProject\salt\salt\modules\pw_user.py
8,4,53,1,18,getent@209-226@C:\User\varshini\Downloads\FinalProject\salt\salt\modules\pw_user.py
9,3,72,2,18,chuid@229-246@C:\User\varshini\Downloads\FinalProject\salt\salt\modules\pw_user.py
9,3,72,2,18,chgid@249-266@C:\User\varshini\Downloads\FinalProject\salt\salt\modules\pw_user.py
9,3,72,2,18,chshell@269-286@C:\User\varshini\Downloads\FinalProject\salt\salt\modules\pw_user.py
11,4,83,3,31,chhome@289-319@C:\User\varshini\Downloads\FinalProject\salt\salt\modules\pw_user.py
10,4,87,3,31,chgroups@322-352@C:\User\varshini\Downloads\FinalProject\salt\salt\modules\pw_user.py
2,1,17,2,11,chfullname@355-365@C:\User\varshini\Downloads\FinalProject\salt\salt\modules\pw_user.py
2,1,17,2,11,chroomnumber@368-378@C:\User\varshini\Downloads\FinalProject\salt\salt\modules\pw_user.py
2,1,17,2,11,chworkphone@381-391@C:\User\varshini\Downloads\FinalProject\salt\salt\modules\pw_user.py
2,1,17,2,11,chhomephone@394-404@C:\User\varshini\Downloads\FinalProject\salt\salt\modules\pw_user.py
6,2,57,3,20,chloginclass@407-426@C:\User\varshini\Downloads\FinalProject\salt\salt\modules\pw_user.py
21,3,147,1,32,info@429-460@C:\User\varshini\Downloads\FinalProject\salt\salt\modules\pw_user.py
4,2,45,1,18,get_loginclass@463-480@C:\User\varshini\Downloads\FinalProject\salt\salt\modules\pw_user.py
2,1,17,1,11,list_groups@483-493@C:\User\varshini\Downloads\FinalProject\salt\salt\modules\pw_user.py
2,2,20,0,11,list_users@496-506@C:\User\varshini\Downloads\FinalProject\salt\salt\modules\pw_user.py
13,4,87,2,22,rename@509-530@C:\User\varshini\Downloads\FinalProject\salt\salt\modules\pw_user.py
17,6,105,5,23,_pyenv_exec@27-49@C:\User\varshini\Downloads\FinalProject\salt\salt\modules\pyenv.py
3,1,16,1,3,_pyenv_bin@52-54@C:\User\varshini\Downloads\FinalProject\salt\salt\modules\pyenv.py
7,4,53,1,8,_pyenv_path@57-64@C:\User\varshini\Downloads\FinalProject\salt\salt\modules\pyenv.py
6,2,36,2,7,_install_pyenv@67-73@C:\User\varshini\Downloads\FinalProject\salt\salt\modules\pyenv.py
6,2,37,2,7,_update_pyenv@76-82@C:\User\varshini\Downloads\FinalProject\salt\salt\modules\pyenv.py
7,2,41,2,8,_update_python_build@85-92@C:\User\varshini\Downloads\FinalProject\salt\salt\modules\pyenv.py
4,2,37,2,13,install@95-107@C:\User\varshini\Downloads\FinalProject\salt\salt\modules\pyenv.py
4,2,37,2,14,update@110-123@C:\User\varshini\Downloads\FinalProject\salt\salt\modules\pyenv.py
2,1,19,1,11,is_installed@126-136@C:\User\varshini\Downloads\FinalProject\salt\salt\modules\pyenv.py
18,5,137,2,37,install_python@139-175@C:\User\varshini\Downloads\FinalProject\salt\salt\modules\pyenv.py
5,1,39,2,19,uninstall_python@178-196@C:\User\varshini\Downloads\FinalProject\salt\salt\modules\pyenv.py
3,2,33,1,12,versions@199-210@C:\User\varshini\Downloads\FinalProject\salt\salt\modules\pyenv.py
7,3,51,2,22,default@213-234@C:\User\varshini\Downloads\FinalProject\salt\salt\modules\pyenv.py
9,4,54,1,18,list_@237-254@C:\User\varshini\Downloads\FinalProject\salt\salt\modules\pyenv.py
3,1,18,1,12,rehash@257-268@C:\User\varshini\Downloads\FinalProject\salt\salt\modules\pyenv.py
16,3,87,2,27,do@271-297@C:\User\varshini\Downloads\FinalProject\salt\salt\modules\pyenv.py
6,2,33,3,17,do_with_python@300-316@C:\User\varshini\Downloads\FinalProject\salt\salt\modules\pyenv.py
8,3,38,0,11,__virtual__@18-28@C:\User\varshini\Downloads\FinalProject\salt\salt\modules\quota.py
5,1,44,1,14,report@31-44@C:\User\varshini\Downloads\FinalProject\salt\salt\modules\quota.py
36,11,327,2,41,_parse_quota@47-87@C:\User\varshini\Downloads\FinalProject\salt\salt\modules\quota.py
50,10,273,2,66,set_@90-155@C:\User\varshini\Downloads\FinalProject\salt\salt\modules\quota.py
2,1,12,0,12,warn@158-169@C:\User\varshini\Downloads\FinalProject\salt\salt\modules\quota.py
9,3,54,0,19,stats@172-190@C:\User\varshini\Downloads\FinalProject\salt\salt\modules\quota.py
4,1,23,1,13,on@193-205@C:\User\varshini\Downloads\FinalProject\salt\salt\modules\quota.py
4,1,23,1,13,off@208-220@C:\User\varshini\Downloads\FinalProject\salt\salt\modules\quota.py
20,6,159,1,29,get_mode@223-251@C:\User\varshini\Downloads\FinalProject\salt\salt\modules\quota.py
43,13,238,0,50,__virtual__@27-76@C:\User\varshini\Downloads\FinalProject\salt\salt\modules\rabbitmq.py
9,5,52,1,9,_check_response@79-87@C:\User\varshini\Downloads\FinalProject\salt\salt\modules\rabbitmq.py
12,5,68,2,12,_format_response@90-101@C:\User\varshini\Downloads\FinalProject\salt\salt\modules\rabbitmq.py
10,2,41,0,18,_get_rabbitmq_plugin@104-121@C:\User\varshini\Downloads\FinalProject\salt\salt\modules\rabbitmq.py
10,3,57,1,15,_safe_output@124-138@C:\User\varshini\Downloads\FinalProject\salt\salt\modules\rabbitmq.py
2,3,19,1,8,_strip_listing_to_done@141-148@C:\User\varshini\Downloads\FinalProject\salt\salt\modules\rabbitmq.py
2,1,12,1,2,_output_to_dict.values_mapper@167-168@C:\User\varshini\Downloads\FinalProject\salt\salt\modules\rabbitmq.py
25,7,123,2,41,_output_to_dict@151-191@C:\User\varshini\Downloads\FinalProject\salt\salt\modules\rabbitmq.py
7,4,31,1,12,_output_to_list@194-205@C:\User\varshini\Downloads\FinalProject\salt\salt\modules\rabbitmq.py
2,3,27,1,7,_output_lines_to_list@208-214@C:\User\varshini\Downloads\FinalProject\salt\salt\modules\rabbitmq.py
4,4,52,1,4,list_users.func@240-243@C:\User\varshini\Downloads\FinalProject\salt\salt\modules\rabbitmq.py
11,3,72,1,29,list_users@217-245@C:\User\varshini\Downloads\FinalProject\salt\salt\modules\rabbitmq.py
11,3,75,1,20,list_vhosts@248-267@C:\User\varshini\Downloads\FinalProject\salt\salt\modules\rabbitmq.py
15,5,108,1,28,list_upstreams@270-297@C:\User\varshini\Downloads\FinalProject\salt\salt\modules\rabbitmq.py
4,3,46,2,13,user_exists@300-312@C:\User\varshini\Downloads\FinalProject\salt\salt\modules\rabbitmq.py
4,3,46,2,13,vhost_exists@315-327@C:\User\varshini\Downloads\FinalProject\salt\salt\modules\rabbitmq.py
4,3,46,2,18,upstream_exists@330-347@C:\User\varshini\Downloads\FinalProject\salt\salt\modules\rabbitmq.py
31,8,173,3,56,add_user@350-405@C:\User\varshini\Downloads\FinalProject\salt\salt\modules\rabbitmq.py
11,3,75,2,21,delete_user@408-428@C:\User\varshini\Downloads\FinalProject\salt\salt\modules\rabbitmq.py
18,4,109,3,34,change_password@431-464@C:\User\varshini\Downloads\FinalProject\salt\salt\modules\rabbitmq.py
11,3,75,2,21,clear_password@467-487@C:\User\varshini\Downloads\FinalProject\salt\salt\modules\rabbitmq.py
58,14,350,3,92,check_password@490-581@C:\User\varshini\Downloads\FinalProject\salt\salt\modules\rabbitmq.py
11,3,75,2,21,add_vhost@584-604@C:\User\varshini\Downloads\FinalProject\salt\salt\modules\rabbitmq.py
11,3,75,2,20,delete_vhost@607-626@C:\User\varshini\Downloads\FinalProject\salt\salt\modules\rabbitmq.py
11,3,99,6,20,set_permissions@629-648@C:\User\varshini\Downloads\FinalProject\salt\salt\modules\rabbitmq.py
16,4,115,2,26,list_permissions@651-676@C:\User\varshini\Downloads\FinalProject\salt\salt\modules\rabbitmq.py
16,4,113,2,26,list_user_permissions@679-704@C:\User\varshini\Downloads\FinalProject\salt\salt\modules\rabbitmq.py
13,4,100,3,23,set_user_tags@707-729@C:\User\varshini\Downloads\FinalProject\salt\salt\modules\rabbitmq.py
11,3,70,1,20,status@732-751@C:\User\varshini\Downloads\FinalProject\salt\salt\modules\rabbitmq.py
