NLOC,CCN,Token,Param,Length,location
4,2,32,0,4,(anonymous)@380-383@C:\User\varshini\Downloads\FinalProject\salt\doc\_themes\saltstack\static\js\vendor\bootstrap.js
1,1,12,0,1,(anonymous)@397-397@C:\User\varshini\Downloads\FinalProject\salt\doc\_themes\saltstack\static\js\vendor\bootstrap.js
6,1,51,0,6,(anonymous)@393-398@C:\User\varshini\Downloads\FinalProject\salt\doc\_themes\saltstack\static\js\vendor\bootstrap.js
39,13,290,2,56,slide@356-411@C:\User\varshini\Downloads\FinalProject\salt\doc\_themes\saltstack\static\js\vendor\bootstrap.js
10,7,121,0,10,(anonymous)@422-431@C:\User\varshini\Downloads\FinalProject\salt\doc\_themes\saltstack\static\js\vendor\bootstrap.js
3,1,13,1,12,$.fn.carousel@421-432@C:\User\varshini\Downloads\FinalProject\salt\doc\_themes\saltstack\static\js\vendor\bootstrap.js
4,1,13,0,4,$.fn.carousel.noConflict@445-448@C:\User\varshini\Downloads\FinalProject\salt\doc\_themes\saltstack\static\js\vendor\bootstrap.js
11,4,113,1,14,(anonymous)@453-466@C:\User\varshini\Downloads\FinalProject\salt\doc\_themes\saltstack\static\js\vendor\bootstrap.js
22,1,118,0,187,(anonymous)@282-468@C:\User\varshini\Downloads\FinalProject\salt\doc\_themes\saltstack\static\js\vendor\bootstrap.js
8,3,69,2,10,Collapse@496-505@C:\User\varshini\Downloads\FinalProject\salt\doc\_themes\saltstack\static\js\vendor\bootstrap.js
4,2,21,0,4,dimension@511-514@C:\User\varshini\Downloads\FinalProject\salt\doc\_themes\saltstack\static\js\vendor\bootstrap.js
19,10,156,0,23,show@516-538@C:\User\varshini\Downloads\FinalProject\salt\doc\_themes\saltstack\static\js\vendor\bootstrap.js
8,3,67,0,8,hide@540-547@C:\User\varshini\Downloads\FinalProject\salt\doc\_themes\saltstack\static\js\vendor\bootstrap.js
9,3,51,1,12,reset@549-560@C:\User\varshini\Downloads\FinalProject\salt\doc\_themes\saltstack\static\js\vendor\bootstrap.js
5,2,30,0,5,complete@564-568@C:\User\varshini\Downloads\FinalProject\salt\doc\_themes\saltstack\static\js\vendor\bootstrap.js
11,4,84,3,20,transition@562-581@C:\User\varshini\Downloads\FinalProject\salt\doc\_themes\saltstack\static\js\vendor\bootstrap.js
3,2,21,0,3,toggle@583-585@C:\User\varshini\Downloads\FinalProject\salt\doc\_themes\saltstack\static\js\vendor\bootstrap.js
7,4,87,0,7,(anonymous)@596-602@C:\User\varshini\Downloads\FinalProject\salt\doc\_themes\saltstack\static\js\vendor\bootstrap.js
3,1,13,1,9,$.fn.collapse@595-603@C:\User\varshini\Downloads\FinalProject\salt\doc\_themes\saltstack\static\js\vendor\bootstrap.js
4,1,13,0,4,$.fn.collapse.noConflict@615-618@C:\User\varshini\Downloads\FinalProject\salt\doc\_themes\saltstack\static\js\vendor\bootstrap.js
9,6,97,1,9,(anonymous)@624-632@C:\User\varshini\Downloads\FinalProject\salt\doc\_themes\saltstack\static\js\vendor\bootstrap.js
21,1,113,0,147,(anonymous)@488-634@C:\User\varshini\Downloads\FinalProject\salt\doc\_themes\saltstack\static\js\vendor\bootstrap.js
3,1,14,0,3,(anonymous)@665-667@C:\User\varshini\Downloads\FinalProject\salt\doc\_themes\saltstack\static\js\vendor\bootstrap.js
4,1,33,1,6,Dropdown@663-668@C:\User\varshini\Downloads\FinalProject\salt\doc\_themes\saltstack\static\js\vendor\bootstrap.js
14,3,63,1,21,toggle@674-694@C:\User\varshini\Downloads\FinalProject\salt\doc\_themes\saltstack\static\js\vendor\bootstrap.js
28,13,191,1,40,keydown@696-735@C:\User\varshini\Downloads\FinalProject\salt\doc\_themes\saltstack\static\js\vendor\bootstrap.js
3,1,16,0,3,(anonymous)@740-742@C:\User\varshini\Downloads\FinalProject\salt\doc\_themes\saltstack\static\js\vendor\bootstrap.js
3,1,14,0,5,clearMenus@739-743@C:\User\varshini\Downloads\FinalProject\salt\doc\_themes\saltstack\static\js\vendor\bootstrap.js
11,7,77,1,15,getParent@745-759@C:\User\varshini\Downloads\FinalProject\salt\doc\_themes\saltstack\static\js\vendor\bootstrap.js
6,3,57,0,6,(anonymous)@768-773@C:\User\varshini\Downloads\FinalProject\salt\doc\_themes\saltstack\static\js\vendor\bootstrap.js
3,1,13,1,8,$.fn.dropdown@767-774@C:\User\varshini\Downloads\FinalProject\salt\doc\_themes\saltstack\static\js\vendor\bootstrap.js
4,1,13,0,4,$.fn.dropdown.noConflict@782-785@C:\User\varshini\Downloads\FinalProject\salt\doc\_themes\saltstack\static\js\vendor\bootstrap.js
1,1,10,1,1,(anonymous)@793-793@C:\User\varshini\Downloads\FinalProject\salt\doc\_themes\saltstack\static\js\vendor\bootstrap.js
1,1,10,1,1,(anonymous)@794-794@C:\User\varshini\Downloads\FinalProject\salt\doc\_themes\saltstack\static\js\vendor\bootstrap.js
22,1,133,0,145,(anonymous)@654-798@C:\User\varshini\Downloads\FinalProject\salt\doc\_themes\saltstack\static\js\vendor\bootstrap.js
6,2,61,2,6,Modal@827-832@C:\User\varshini\Downloads\FinalProject\salt\doc\_themes\saltstack\static\js\vendor\bootstrap.js
3,2,18,0,3,toggle@838-840@C:\User\varshini\Downloads\FinalProject\salt\doc\_themes\saltstack\static\js\vendor\bootstrap.js
1,1,16,0,1,(anonymous)@874-874@C:\User\varshini\Downloads\FinalProject\salt\doc\_themes\saltstack\static\js\vendor\bootstrap.js
17,5,119,0,24,(anonymous)@854-877@C:\User\varshini\Downloads\FinalProject\salt\doc\_themes\saltstack\static\js\vendor\bootstrap.js
9,3,55,0,37,show@842-878@C:\User\varshini\Downloads\FinalProject\salt\doc\_themes\saltstack\static\js\vendor\bootstrap.js
16,6,106,1,25,hide@880-904@C:\User\varshini\Downloads\FinalProject\salt\doc\_themes\saltstack\static\js\vendor\bootstrap.js
5,3,41,1,5,(anonymous)@908-912@C:\User\varshini\Downloads\FinalProject\salt\doc\_themes\saltstack\static\js\vendor\bootstrap.js
4,1,20,0,8,enforceFocus@906-913@C:\User\varshini\Downloads\FinalProject\salt\doc\_themes\saltstack\static\js\vendor\bootstrap.js
3,2,16,1,3,(anonymous)@918-920@C:\User\varshini\Downloads\FinalProject\salt\doc\_themes\saltstack\static\js\vendor\bootstrap.js
8,4,51,0,10,escape@915-924@C:\User\varshini\Downloads\FinalProject\salt\doc\_themes\saltstack\static\js\vendor\bootstrap.js
4,1,23,0,4,(anonymous)@928-931@C:\User\varshini\Downloads\FinalProject\salt\doc\_themes\saltstack\static\js\vendor\bootstrap.js
4,1,13,0,4,(anonymous)@933-936@C:\User\varshini\Downloads\FinalProject\salt\doc\_themes\saltstack\static\js\vendor\bootstrap.js
5,1,35,0,12,hideWithTransition@926-937@C:\User\varshini\Downloads\FinalProject\salt\doc\_themes\saltstack\static\js\vendor\bootstrap.js
4,1,17,0,4,(anonymous)@942-945@C:\User\varshini\Downloads\FinalProject\salt\doc\_themes\saltstack\static\js\vendor\bootstrap.js
5,1,22,0,8,hideModal@939-946@C:\User\varshini\Downloads\FinalProject\salt\doc\_themes\saltstack\static\js\vendor\bootstrap.js
4,1,16,0,4,removeBackdrop@948-951@C:\User\varshini\Downloads\FinalProject\salt\doc\_themes\saltstack\static\js\vendor\bootstrap.js
27,14,228,1,37,backdrop@953-989@C:\User\varshini\Downloads\FinalProject\salt\doc\_themes\saltstack\static\js\vendor\bootstrap.js
8,5,99,0,8,(anonymous)@999-1006@C:\User\varshini\Downloads\FinalProject\salt\doc\_themes\saltstack\static\js\vendor\bootstrap.js
3,1,13,1,10,$.fn.modal@998-1007@C:\User\varshini\Downloads\FinalProject\salt\doc\_themes\saltstack\static\js\vendor\bootstrap.js
4,1,13,0,4,$.fn.modal.noConflict@1021-1024@C:\User\varshini\Downloads\FinalProject\salt\doc\_themes\saltstack\static\js\vendor\bootstrap.js
3,1,9,0,3,(anonymous)@1040-1042@C:\User\varshini\Downloads\FinalProject\salt\doc\_themes\saltstack\static\js\vendor\bootstrap.js
